id,artist,artist_ja,song,song_ja,url1,url1_channel,url2,url2_channel,benefit_points,created_at
3eeba625-1325-4be3-8923-35197a0ed1da,신승태,シンスンテ,성은 김이요,苗字はキムよ,https://www.youtube.com/watch?v=iMrO_IkUj8c,트롯가왕,https://www.youtube.com/watch?v=TQZfLrwcI2A,MBN Music,0,2025-11-23 14:26:47.354301+00
41e38a73-ba83-41d0-aed2-77942c9d160a,마사야,マサヤ,오사카LOVER,大阪LOVER,https://www.youtube.com/watch?v=1I2Nk26OW5A,트롯가왕,https://www.youtube.com/watch?v=AZRza3WJ8uA,MBN Music,0,2025-11-23 14:26:47.354301+00
4c177d59-99d8-4d90-9260-6f7cf80e3b17,"에녹, 김다현","エノク, キムダヒョン",그대 먼 곳에,あなた 遠いところへ,https://www.youtube.com/watch?v=15DyNC_CKq0,트롯가왕,https://www.youtube.com/watch?v=WDBRO2Vvoik,MBN Music,0,2025-11-23 14:26:47.354301+00
4db972d6-5abf-42eb-8f1b-187308b0d036,"진해성 , 요요미","ジンへソン , ヨヨミ",분위기 좋고,いい雰囲気,https://www.youtube.com/watch?v=izDWjOqJ6Jc,트롯가왕,https://www.youtube.com/watch?v=2YnzLeGr2c4,MBN Music,0,2025-11-23 14:26:47.354301+00
58f9ece7-c846-416d-b0cc-48a2a8698670,신,シン,텅 빈 마음,空っぽの心,https://www.youtube.com/watch?v=gd6d0FxC4tk,트롯가왕,https://www.youtube.com/watch?v=YGfB8THMqGE,MBN Music,0,2025-11-23 14:26:47.354301+00
5c50b0a2-217f-4cab-bcf8-66b06bf3bbb6,에녹,エノク,사랑은 마술처럼,愛は魔術のように,https://www.youtube.com/watch?v=-PFSyJm2WqQ,트롯가왕,https://www.youtube.com/watch?v=71mxn6JMhOI,MBN Music,0,2025-11-23 14:26:47.354301+00
5f18cffb-fd6d-46fe-8604-1bb2c1939fb5,"신승태 , 윤수현","シンスンテ , ユンスヒョン",사랑의 포로,愛の虜,https://www.youtube.com/watch?v=nN5mut5PQHs,트롯가왕,https://www.youtube.com/watch?v=VzeBgv48DFo,MBN Music,0,2025-11-23 14:26:47.354301+00
60577114-6e11-4bbd-b485-4f333a524e20,에녹,エノク,잡초,雑草,https://www.youtube.com/watch?v=1dBI8MIMHQE,트롯가왕,https://www.youtube.com/watch?v=-AMBW8YF1Bo,MBN Music,0,2025-11-23 14:26:47.354301+00
60cb0a2b-1631-47ab-a258-f8d53a74e4a3,"에녹, 마리아","エノク, マリア",나를 살게 하는 사랑,私を生かす愛,https://www.youtube.com/watch?v=HnkhnCD0y6M,트롯가왕,https://www.youtube.com/watch?v=EZz05LHvi44,MBN Music,50000,2025-11-23 14:26:47.354301+00
62c16ab3-181c-4a38-8cd0-7229ceba441e,마사야,マサヤ,For You,For You,https://www.youtube.com/watch?v=75Un1G2deeQ,트롯가왕,https://www.youtube.com/watch?v=A5BHnjKTSE4,MBN Music,50000,2025-11-23 14:26:47.354301+00
